Time,Mfa_modbus,AirCon,CO2ra_Multi Trend Log List_343 14122018_CO2R_Trend_5m,CO2sa_Multi Trend Log List_344 14122018_CO2S_Trend_5m,FanSpeed_Multi Trend Log List_381 14122018_VSD_FAN,FanPower,PumpStatus_Multi Trend Log List_363 14122018_LT3 Mixing Pump VSD FeedBack,PumpPower,Msa_Multi Trend Log List_304 14122018_Msa_Modbus,Qmain_Multi Trend Log List_348 14122018_BTU Meter AHU-RC,Qpre_Multi Trend Log List_353 14122018_BTU Meter Precooling Unit-RC,RHoa_Multi Trend Log List_339 14122018_OutDoor_RH,RHra_Multi Trend Log List_367 14122018_LT3 Return Air RH,Tglobe_Multi Trend Log List_338 14122018_GlobeTemp,Toa_Multi Trend Log List_340 14122018_OutDoor_Temperature,Tra_Multi Trend Log List_368 14122018_LT3 Return Air Temp,ValPos_main1_Multi Trend Log List_331 14122018_ValvePos_main_return,ValPos_main2_Multi Trend Log List_332 14122018_ValvePos_main_supply,ValPos_main3_Multi Trend Log List_333 14122018_ValvePos_old,Vz_Multi Trend Log List_337 14122018_AirSpeed,RHz,Tz,Vz,Trad
2019-04-01 00:00:00.000,91.26,0,559.5,526.88,0.0,0.0,0.34,0.0,309.92,0.0,0,81.13,76.71,3051.88,28.83,27.77,92.65,80.79,3.08,10.15,76.71,27.77,0.1015,30.518800000000002
2019-04-01 00:05:00.000,91.26,0,558.75,531.75,0.0,0.0,0.34,0.0,309.92,0.0,0,79.66,76.88,3051.88,28.95,27.77,92.71,80.79,3.29,10.15,76.88,27.77,0.1015,30.518800000000002
2019-04-01 00:09:59.990,91.26,0,558.75,547.13,0.0,0.0,0.34,0.0,309.92,0.0,0,77.21,76.78,3051.88,28.99,27.77,92.67,80.81,3.35,10.15,76.78,27.77,0.1015,30.518800000000002
2019-04-01 00:14:59.985,91.26,0,554.5,545.0,0.0,0.0,0.34,0.0,309.92,0.0,0,75.74,76.74,3051.88,28.99,27.77,93.23,80.75,2.94,10.15,76.74,27.77,0.1015,30.518800000000002
2019-04-01 00:19:59.980,91.26,0,556.63,534.63,0.0,0.0,0.34,0.0,309.92,0.0,0,77.46,76.78,3051.88,29.04,27.77,92.65,80.85,2.78,10.15,76.78,27.77,0.1015,30.518800000000002
2019-04-01 00:24:59.975,91.26,0,556.63,536.63,0.0,0.0,0.34,0.0,309.92,0.0,0,79.45,76.6,3051.88,28.99,27.77,92.1,80.79,2.16,10.15,76.6,27.77,0.1015,30.518800000000002
2019-04-01 00:29:59.970,91.26,0,556.63,524.13,0.0,0.0,0.34,0.0,309.92,0.0,0,79.34,76.74,3051.88,28.95,27.77,92.67,80.79,3.43,10.15,76.74,27.77,0.1015,30.518800000000002
2019-04-01 00:34:59.965,91.26,0,556.63,512.25,0.0,0.0,0.34,0.0,309.92,0.0,0,80.01,76.91,3051.88,29.07,27.74,92.61,80.89,2.0,10.15,76.91,27.74,0.1015,30.518800000000002
2019-04-01 00:39:59.960,91.26,0,551.75,526.88,0.0,0.0,0.34,0.0,309.92,0.0,0,78.99,76.74,3051.88,29.07,27.77,92.65,80.89,2.92,10.15,76.74,27.77,0.1015,30.518800000000002
2019-04-01 00:44:59.955,91.26,0,556.63,513.63,0.0,0.0,0.34,0.0,309.92,0.0,0,79.94,76.81,3051.88,28.95,27.74,92.67,80.75,2.86,10.15,76.81,27.74,0.1015,30.518800000000002
2019-04-01 00:49:59.950,91.26,0,551.75,521.37,0.0,0.0,0.34,0.0,309.92,0.0,0,76.66,76.84,3051.88,28.99,27.74,92.67,80.85,2.65,10.15,76.84,27.74,0.1015,30.518800000000002
2019-04-01 00:54:59.945,91.26,0,549.0,542.25,0.0,0.0,0.34,0.0,309.92,0.0,0,78.44,76.67,3051.88,29.04,27.77,92.67,80.75,3.32,10.15,76.67,27.77,0.1015,30.518800000000002
2019-04-01 00:59:59.940,91.26,0,546.13,516.37,0.0,0.0,0.34,0.0,309.92,0.0,0,75.85,76.74,3051.88,28.86,27.77,92.65,80.85,3.13,10.15,76.74,27.77,0.1015,30.518800000000002
2019-04-01 01:04:59.935,91.26,0,549.0,526.25,0.0,0.0,0.34,0.0,309.92,0.0,0,76.69,76.71,3051.88,28.83,27.77,92.65,80.75,3.38,10.15,76.71,27.77,0.1015,30.518800000000002
2019-04-01 01:09:59.930,91.26,0,549.0,516.37,0.0,0.0,0.34,0.0,309.92,0.0,0,78.75,76.67,3051.88,28.78,27.77,92.71,80.75,3.35,10.15,76.67,27.77,0.1015,30.518800000000002
